popularity,popularity_num,artist_followers,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
True,36,601,34,0.535,0.727,0,-2.392,1,0.0331,0.385,0,0.103,0.461,139.712,4
False,69,3366398,79,0.65,0.648,8,-6.016,0,0.0833,0.238,0,0.111,0.61,165.15,4
True,4,3366398,79,0.618,0.76,6,-4.312,1,0.0596,0.0066,0,0.127,0.541,150.0,4
False,66,3366398,79,0.637,0.669,1,-5.289,1,0.0732,0.0135,0,0.406,0.501,168.117,4
False,69,3366398,79,0.749,0.85,0,-4.346,1,0.0468,0.0319,4.81e-05,0.0678,0.672,145.983,4
False,66,3366398,79,0.693,0.864,1,-3.365,1,0.0807,0.0711,0,0.0961,0.695,117.961,4
False,67,3366398,79,0.636,0.702,0,-5.352,0,0.0334,0.0223,0,0.293,0.516,135.104,4
True,3,3366398,79,0.692,0.886,1,-2.519,1,0.0519,0.284,0,0.341,0.879,100.03,4
False,66,3366398,79,0.762,0.594,0,-5.465,1,0.0481,0.1,0,0.123,0.337,98.025,4
True,2,3366398,79,0.798,0.867,11,-3.207,0,0.0386,0.0618,0,0.193,0.702,99.996,4
False,62,3366398,79,0.657,0.943,7,-3.031,1,0.0856,0.0315,0,0.149,0.76,127.958,4
False,59,284960,60,0.692,0.71,10,-5.64,1,0.0616,0.0861,0,0.0478,0.681,82.016,4
True,3,3366398,79,0.681,0.814,11,-2.83,0,0.0603,0.145,0,0.556,0.876,89.99,4
True,1,756328,56,0.498,0.917,5,-1.797,0,0.164,0.0615,0,0.358,0.652,112.357,5
False,64,3366398,79,0.623,0.74,1,-7.051,0,0.0403,0.223,0,0.431,0.383,134.9,4
True,2,3366398,79,0.625,0.83,0,-2.33,1,0.0764,0.00266,0,0.188,0.757,110.04,4
False,65,3366398,79,0.629,0.761,0,-4.69,0,0.0557,0.0886,0,0.0814,0.605,144.986,4
False,64,3366398,79,0.628,0.734,1,-5.342,0,0.0994,0.206,0,0.145,0.535,129.956,4
True,1,3366398,79,0.731,0.787,1,-3.95,1,0.055,0.169,0,0.0892,0.799,120.951,4
False,62,841932,59,0.735,0.736,4,-3.266,0,0.277,0.00511,0,0.165,0.813,117.975,4
False,64,3366398,79,0.695,0.783,11,-4.068,1,0.151,0.192,0,0.0339,0.551,79.972,4
True,1,3366398,79,0.529,0.722,1,-4.815,0,0.0814,0.213,0,0.102,0.666,79.951,4
True,1,3366398,79,0.592,0.88,2,-3.094,0,0.0724,0.116,0,0.251,0.579,154.97,4
False,57,3366398,79,0.629,0.575,6,-5.763,0,0.0354,0.235,0,0.0935,0.239,136.053,4
True,1,3366398,79,0.575,0.9,1,-3.723,1,0.0711,0.276,0,0.171,0.716,156.028,4
False,64,3366398,79,0.703,0.596,4,-6.603,1,0.0412,0.4,0,0.0907,0.549,135.057,4
True,2,756328,56,0.629,0.963,0,-3.889,1,0.112,0.00515,0,0.262,0.528,90.015,4
False,54,3366398,79,0.609,0.825,8,-3.311,1,0.0748,0.0588,0,0.35,0.333,144.868,4
True,0,3366398,79,0.639,0.786,6,-3.767,1,0.287,0.00936,0,0.0694,0.772,114.181,4
True,0,3366398,79,0.696,0.844,5,-4.212,0,0.181,0.0348,0,0.0882,0.761,91.982,4
True,1,3366398,79,0.643,0.912,7,-3.005,1,0.139,0.0986,0,0.196,0.456,140.015,4
True,0,3366398,79,0.708,0.689,1,-5.428,1,0.0421,0.00678,0,0.441,0.563,93.94,4
True,1,3366398,79,0.649,0.832,5,-4.552,0,0.086,0.13,0,0.414,0.58,139.986,4
